"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-1204260.21671671,-679229.069263623,-183717.143171869,-24687.4532546961,-27353.1821536526,118.748539966524,-77062.4278006649,112442.544746599,-10454.4507026509,35850.9526863997,-229692.416901612,105936.809661903,-25625.1856373264,23547.9341686666,-109796.723933442,105429.959873683,-6975.08263420403,37401.7191707522,59288.0189579195,-41164.634228297,37300.7462977209,-11426.9015381195,1632.97905314652,-3813.18947327461,11932.6611109708
-1421106.30227904,-809105.29381097,-221625.64204725,-27097.6409190722,22528.0927558153,-1015.43953925823,-126163.435949387,198825.591846769,2670.28861962339,303464.358206281,-189857.558207077,-111616.625176096,7408.79854091986,25242.2264644037,17223.7274586009,-112197.097432669,-8114.28970155306,110057.459136471,43084.5564445566,-28890.9674230837,63571.0050303131,66847.1965089971,44935.1975195335,33891.8520342232,11332.7467096599
-1453220.78893531,-829141.000054206,-260836.182451588,-29686.6296086186,32331.5008297761,7659.74588382947,-113213.324800513,208968.991096444,-22674.4900499251,382713.120990978,-357595.165225797,-432728.131260564,131394.398659663,111866.053461002,163284.999354465,25751.6806539883,-28022.678379374,43101.0025143181,2393.05308283808,6231.7376022157,24127.8111083228,-9324.42797860713,-4322.99124275312,49780.5883052572,-3074.22833998747
-1147101.38515307,-655711.223266111,-202501.577365555,-25238.0453679942,6840.22619030079,-380.594269403605,-121523.733722655,194085.510719169,-13647.0602276601,300896.102837854,-234782.622016916,-201703.906133752,58109.9080273048,59454.4726176707,60238.4463450184,-20353.4750749754,-7344.85613492258,54500.5585590515,26850.5859426751,-22042.825252071,51919.2783900506,63922.2462718548,-18608.0928801401,24692.0467385667,15515.694034321
-1410447.45118593,-797156.296830524,-216498.041574552,-26826.7389482504,11175.5981947206,-2560.23371399162,-116506.301600809,173370.818442534,2163.297500948,213261.8863755,-181139.617896565,-31600.790184802,-48149.5379523486,-10948.3223180674,-72399.3763292137,-77841.1374901954,8497.18420191175,55201.8653131406,26477.1562866409,54492.6333365661,41086.6634234295,27989.3473465639,82491.4395755919,9671.0437406667,-9350.94605355869
-1151779.63253099,-658550.985344652,-211011.630075243,-26323.7568642768,352.639234495207,-4538.26135156649,-137414.543560949,207496.011608057,-9368.27601369985,352861.102104279,-202209.381516444,-186871.600511648,21533.5254526922,27634.3925947113,27790.9505669117,-19317.7660507392,7833.51157206244,21085.1431803747,16282.4858423667,345.520590881361,41168.2650574807,45802.0430592114,61233.6929888939,-5244.80602290733,-8540.28846926652
-1149672.68981375,-647595.858028338,-189438.974700257,-29432.4209525284,-56000.1525335537,-6606.31616517353,-102283.654965504,135904.04018385,-15205.9861256704,75352.4546300449,-224595.216798308,160393.117015825,-5831.32067084687,44755.4525311083,-123534.859051577,40373.3118064505,4450.29358163338,35906.6337517407,62231.78589771,-52171.9627773127,25620.1099507706,-47271.7631622774,59622.5482566492,1652.43944992318,-3686.03259316861
-1800317.92537744,-1013903.00064536,-256272.236274936,-25383.7715050395,42830.9848718442,9612.29547516363,-56105.8504684664,107954.883245307,2811.60713559452,115033.703536065,-184615.929982172,-46947.7465671627,-118066.014386675,-64501.4613837947,-85775.0493698174,37881.8055833333,-10334.0786123706,41217.813729058,40708.5682529785,35463.1235751586,17182.2449839737,-56291.7145376768,137223.32974888,24636.8215225091,-46181.5143280186
-2036212.22992687,-1146212.24599671,-299351.875364104,-35804.3955497635,96618.8296839894,16824.4648787679,-58510.0728713552,147418.500376754,-29734.9648340671,227492.156926914,-424597.598561553,-338680.235274966,43046.5432426748,49158.4166446231,89725.0257739585,-98668.6001395623,41797.1414958126,-33780.4961362756,-30113.3031283773,-164722.219274729,21903.8243412276,-464.739899582282,40544.6389485528,71530.2675919294,5179.78334879715
-1376421.09875595,-769304.226833301,-200575.076942532,-21866.1386942849,3550.77788580731,-1203.18465084724,-90102.3578090557,136353.148206921,-2944.97025725207,142782.198840102,-109508.88455842,35883.1588355614,-78839.5303768011,-39208.7852743429,-104184.132918446,-139454.573853901,-21676.2978299147,100178.749275102,65510.1114070622,92613.4839391229,2741.95434422057,-92480.9605147396,-27012.6877365617,53938.613317493,3115.13667784265
-1387107.32423086,-781815.094336288,-211286.15496649,-26826.0254011735,-7218.67537617687,-4973.7590583425,-112972.320350791,161290.313413244,-9255.67268438655,152585.764740889,-147233.212115246,103751.643944232,-46308.9947263043,-100.108193195655,-115814.206973215,-95530.1530762577,-2181.11324212461,79238.4618012598,59643.3377762271,28025.0677044698,25231.8805174987,-43469.8976470421,55090.7199208928,39419.585179073,-13447.7740821111
-1453804.16362937,-830614.795124222,-264138.274604849,-31003.0451814886,-19450.6338041783,-15959.9640585071,-170034.081590054,226173.740654886,11889.383836701,361029.287760384,-6851.11200165818,322348.390970355,70026.5861486896,116797.235575764,-199958.947871426,-29283.8291386869,63624.0977494777,-17174.8841500314,28833.6239469545,-81004.540682132,39127.7339598071,3274.89439755181,225781.201791048,-56723.1675568942,-13320.9425832536
-1656440.51991868,-951319.172158965,-294967.168092655,-8313.38899695397,78172.6510603284,-7860.30156764072,-140044.120652515,209185.223503367,9869.53478986434,465128.023864953,435018.25441265,353020.151625132,37665.1694044087,50241.5666374002,-303919.894525276,-136940.237514867,95547.0314132527,-168075.94131049,-49408.4615516998,256017.27372885,-27440.145938135,-13008.0901667727,-128020.906690675,-23581.8379051077,24340.9728850185
-1569816.68371425,-896026.354608964,-191789.715125435,-19952.0795651929,15692.7054097501,-7807.07340688483,-128303.306832334,164134.168680973,148602.316645087,266067.975873674,47385.0807987685,152700.244480226,-238760.062996597,-151461.867647719,-227925.486331381,-735.070548825885,50155.4756161916,-36569.7108548981,14624.9291067042,47947.3683575763,38028.8869559516,9447.30016848885,106732.872072774,-24505.5557214846,55497.4117303777
-1391110.96172795,-789259.745738236,-243373.006173181,-29991.1454339144,-29935.0784062432,-16817.3457535205,-157385.260307604,188503.929557513,22558.6132143745,255048.51272416,-122481.605927343,192045.020183237,-182742.383176061,-88839.2964740063,-237540.576147966,78279.8649511381,56030.3957422719,-52144.5037183761,35637.3615892545,-58550.3800930148,31180.5484824341,-75123.4565070525,166257.289775523,-69552.7619796251,-18339.5890766188
-1946572.26377176,-1100930.43317089,-265307.419797329,-10432.305489117,154297.597622919,2758.4089446322,-103482.07041953,177425.515495927,30706.3258084318,349980.108651986,356716.811310346,212562.468833007,-47982.3166995966,-31840.6163093379,-248290.345756635,-444753.489700909,128801.579473031,-154770.312428051,-50919.9595325889,323202.749063157,29028.5238622805,147936.793966475,-121091.060631712,55764.8724869159,27709.7235020945
-1170088.268723,-672616.889883429,-225738.132080817,-21820.4528087355,-1766.83522917995,-8780.62831835427,-141441.738308367,199150.879582384,-6901.07896699822,290913.05011949,18342.4420417228,236055.881418932,61570.320279294,99007.5816077577,-166785.192772996,28235.7225447815,65307.7979720268,-83715.7773317878,-560.244554607443,21315.5741980423,48971.1695717802,112942.496915919,53360.521931371,-35193.5256996369,-15054.1895951717
-3715359.55427329,-2081432.55579813,-413616.810166564,-6611.63471712276,371701.343458512,46483.1334693338,129043.936712601,-68690.5152452877,14071.2085773809,-17274.1175334105,199969.370453449,131845.976285093,-180177.493604646,-146241.02808319,-312882.4389811,-276084.867516974,177491.480969436,-363549.794102102,-137438.793228996,252934.468410914,-35059.8290150486,-110520.650695428,-261279.406622775,29360.7749084771,61130.5404166705
-1097970.0634456,-625903.024138991,-201461.905103329,-26140.2567455923,-35785.8676239501,-23884.9852417056,-169390.598453611,193990.375077424,-4101.74718691075,266514.22670288,-68053.9243312362,226153.275969077,-20841.2852409965,26895.0181027582,-187502.518360273,3280.04357145877,36141.0713979746,28575.2820123936,48884.5855611295,-47690.1996323001,39631.2831338348,-27992.9912845395,137746.149272999,-46993.360734843,-11550.3758487056
-1052433.5864487,-601460.472199054,-192968.232559768,-19067.9676122449,-3922.17831398911,-13041.8574389482,-127264.196209946,167050.8627896,-2549.24378092057,265672.006606927,25774.7192066967,206582.844865295,39867.6281125792,67304.9291929981,-138568.688623693,-9165.50747165789,24297.5465117163,33650.7718780327,43491.1799596007,-46560.1657505967,25461.5037056411,4716.03473999592,99502.8046371256,-43253.7572273914,3374.98392426178
-2108937.26022005,-1184188.3336444,-257076.549853687,-17415.3139483866,143887.271101075,10456.227796493,-43228.716078625,97144.4445084868,28014.4084061317,124232.502675922,26871.258579922,111413.919034442,-127242.638438223,-81254.6016381625,-219470.49630234,-259628.142217255,95858.3312037706,-110305.462913763,-36319.9741807437,164738.521706807,13319.1720777014,2966.24036441335,-31139.1814494691,16878.8888651623,31580.7649065278
-2116278.62153194,-1194058.42875048,-290223.319896399,-17466.1869721541,131819.395078075,7266.54857351299,-78240.9665281082,136718.672074042,23931.4623292168,254855.196477182,146978.645694334,75576.9551304988,-206672.644722406,-146907.794700295,-237511.500680732,-156207.880682079,93151.6097973692,-145828.84915967,-43684.6859748551,186199.737527157,4656.02755435827,45974.4969370738,66586.028248388,-4773.40437982349,-43719.4087563414
-4925106.09073347,-2764074.46724199,-527809.502395242,171.941624439572,511185.702468558,84543.3948617355,288083.508957174,-223240.029115863,11789.0045240037,-278468.751509366,147533.226491571,107633.585504329,-202693.961247876,-151783.839390077,-319271.968570991,141183.353077231,157921.421530823,-408590.706063331,-134251.952066537,220873.498186493,4917.01570991725,-96121.9003344383,-182121.065825623,13531.4729915804,26409.3874909706
-2637764.26181658,-1484360.26699946,-361732.088224624,-6829.17631465986,272918.896765085,18595.46500978,1049.51555814397,58970.5455285553,4511.25855179536,253590.241655245,459433.242638434,224770.540503662,-78095.2735547068,-69688.0880785649,-299102.049658471,-322717.391704638,181229.015885841,-316397.561122939,-123128.52184034,176749.902919356,-51120.0516718501,104163.334067343,16263.6997470412,-88889.6727412678,-12489.492237707
-1249575.48562894,-717712.174868511,-249672.433876213,-26690.7949673808,-14337.9744165802,-14795.3859120384,-176314.240987848,238911.632280928,-8814.99505728516,343713.817900698,55623.3918288249,287265.661443256,35477.5968494834,78594.9739648923,-194124.517197141,-30373.0694409971,63213.8831772434,-23444.0909004166,19238.8986877091,-78172.7006025446,43510.4878352315,140729.673560071,128139.496036362,-41476.7371628103,-8788.16649927628
-1735292.57125684,-982651.952325099,-254243.14689849,-12793.4080321724,123135.727130472,3682.68403710359,-78970.7629883448,129350.056895372,25739.8551218636,255442.844413184,243222.504030764,168861.334214251,-151102.582838407,-101493.104270613,-268327.814888378,-171065.906671877,138689.253780029,-222287.802709453,-70800.3834386393,164029.419220081,14621.5086384093,161778.391086026,64085.4765688727,-49832.736958349,-24943.9381698985
-2653640.02191924,-1500163.88127654,-315688.83598903,6274.11344664861,293242.201026491,23266.8664588016,19631.5760631564,47912.5007979964,62350.5607288476,300524.573790359,631297.940517577,214924.061047938,-16819.6743222194,-43928.7288657269,-199759.185377287,-403432.604832993,69480.5122529468,-30830.5029785416,-22888.4143813751,164467.408578999,-28375.2773155665,87481.895657955,-135471.443288793,-10926.4485201047,86907.7805454826
-596557.752283399,-351394.046435628,-161494.280637021,-31105.9967814537,-106677.482651673,-29278.952771445,-220721.98537455,265057.792140526,-16606.8500753326,247618.959195182,-162009.348220601,369064.710723833,205721.30494323,238286.197421896,-146482.955771464,108228.585943822,48077.5521496106,-32565.1014992542,35335.0803153728,-108214.349024093,72113.4790038313,134433.599473996,62324.3612429226,-13187.2680268634,5097.78933152101
-821600.125193514,-468904.82386285,-163787.579750524,-25389.8117126244,-62058.0675280754,-21683.2138714891,-172927.662093062,205000.53602898,16841.4542367368,261484.062314974,-107884.623620121,167703.167650858,-85744.4887480905,-20536.5514674453,-174749.883341533,-27708.2826280317,30244.802309427,28921.4940235008,56057.3732605364,-17871.2037851832,39654.5685389911,-24318.7874819945,100721.7451769,-40956.6869579023,8009.45152677969
-3834265.64367316,-2165525.89160694,-544155.062332471,-5284.1813551635,431729.549561089,41425.6498632704,103372.816275014,-20090.9790727169,-43125.4240476994,260982.736957404,733713.949867739,557721.146195311,244653.587630359,200784.083927024,-331375.152278688,-144593.896720302,292274.500561446,-619851.207388346,-239387.142862759,-54699.5673004152,-94386.6326411739,179607.488814668,178346.205336426,-120876.896566488,-78589.5299238746
-1434445.9493921,-821925.026381666,-281194.264441997,-26433.3071325502,13375.7787920079,-18362.7283357527,-179183.958298349,245517.166471668,-29623.700032288,422389.277080527,139207.64914282,390086.450925402,155937.832409451,171219.83774146,-162908.03245434,-104670.275959237,51733.3506896829,31762.3307496793,46448.9082064749,-162439.862871718,16203.1640713855,27001.3496951844,175617.648900459,-65396.8988769114,-5329.9898886851
-1748982.7058929,-985167.451987204,-254790.272605139,-22487.0057197807,84027.5371122513,-2143.03877689871,-123890.43877427,190119.117931448,-546.927791413868,247997.489130028,70009.8917543536,189034.806061201,-97220.0548907783,-41127.2907228908,-243676.120448193,-326606.493233151,129086.314149548,-179412.473567847,-69016.0633147059,243082.423550301,26325.1961745013,61678.6557164137,-15222.2599512745,78481.6777210799,-33632.8090516841
-883350.346764001,-517954.780823545,-184596.673071517,-21982.8428436537,-60875.6619622766,-29303.9520251008,-247157.475608196,309051.361072551,45120.0737929445,474445.147571653,132719.568039202,293304.316099202,-6671.03649820982,37980.5317905295,-213438.613760083,-84123.5794677608,48096.1346203328,-7195.97517404914,40481.3686934866,12460.4624041044,30664.3282101764,51687.8637404905,-58899.1251878597,4239.49771485043,33995.8489528015
-1185197.85901382,-678753.516114381,-234427.010715704,-30478.041281613,-39932.3674508371,-21263.3055288089,-204661.131757007,260288.874862521,3417.74042829007,328970.105852952,-106836.167761866,181563.682750871,-85368.1333014668,-10087.9712695701,-206223.128444027,26169.4609388997,75419.847183317,-86158.8352036488,10693.3718677249,-54516.4859540328,41406.489443012,32270.416936171,36649.3301180856,-1410.08680546089,-3662.51297168879
-2865833.5035835,-1615376.99964343,-323268.987427623,-2807.01711310335,260254.010019279,33825.4568765495,54781.6736359862,-10839.3536518401,66451.6719133746,62027.7758764621,281614.308101797,27404.7112862555,-380879.492128773,-305338.563008287,-267818.959335796,-33233.2152984077,65434.4877508565,-107861.004495779,-15650.0346838026,176284.218786921,20773.1392056333,80803.0537002222,16041.163651252,-56129.7457927028,4382.07033809645
-3368648.95472701,-1907506.81240431,-434619.281372839,2943.00141930055,372944.248357315,34929.0539809191,46884.5242893213,17085.6322875358,44144.0754896787,261949.275567579,752519.829345673,296949.84945193,-262167.177053016,-218265.348880834,-360816.722112555,-106472.084191033,193692.165529153,-408861.175821469,-128118.958208272,94282.7422485343,-24667.9784361224,256501.49842752,55520.5996166426,-94651.274812106,-54654.800202916
-2671072.60872018,-1498936.37647556,-306994.426964688,-15300.0322815474,223696.437239709,32557.038696968,77815.9567529799,-24318.8109718355,-33522.639614961,-79753.735876393,-26457.7274243327,179389.421940089,44162.7543587379,55304.7753908891,-121856.809774448,-103517.208361846,53234.2420368625,-11361.2783151934,5003.73550533551,-83046.8884753687,39439.2807220922,32626.1772332361,47841.0372579141,-6706.38917425707,24788.8739557167
