"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25"
-1305943.96792581,-749999.785746035,-266153.969884021,-37037.1340383579,-13072.2778227837,-11950.9661544203,-208448.044651644,307017.947028237,-18473.8695909674,513284.694051496,-294441.820299038,-257640.429369369,60946.9389353217,64779.0481387983,57282.6104745351,-99309.7831543801,41088.8988736793,-22401.3653514261,-13352.6248591465,-159002.593342615,20672.2082188946,23222.5471386032,-58840.5047900945,68412.4965329059,27392.7349115291
-1170960.45546007,-667996.832726001,-270334.750274401,-59819.8879607007,-313922.122630884,-14006.3976189282,-206437.196395166,265144.911080048,-32252.6134080967,192370.09649922,-258446.995486778,263438.574465591,94911.7616736141,145494.779608462,-180632.145050116,-12339.116154022,17274.7287563988,-2866.80627562409,104038.311872675,-44398.3456638361,-6335.71334275052,-84293.4053893446,-103506.290281961,83700.0811575435,13422.9110639408
-1104985.90371908,-643682.692908896,-270610.31550159,-36303.2613518417,-37713.142833933,-12365.2272310924,-228597.814143116,336733.738328344,-19953.1540185547,613840.452285071,-309968.921283498,-374901.357163968,127914.041344706,111161.583366958,114577.418346501,27194.7684593047,35497.0089080243,-63864.2449097597,-32080.196865968,-148981.667100238,14323.6592463029,47627.8701195662,-122982.179375055,49397.1401517128,35719.1109663464
-1282815.9639369,-727371.044433332,-235334.318228207,-33357.8984351797,-59225.8211988745,-13385.4025169705,-169314.716331737,229746.056408557,-9863.95766135219,309393.519417077,-164188.253844491,32078.6243658113,-57760.675286619,-16412.3680873226,-121673.447260184,-122686.155908003,31314.2372553084,-6276.38834325098,31348.0338199268,-43860.0901474873,-9936.07988237885,-105999.04743328,-90312.3659853181,76088.1416603409,21548.0626413179
-1119230.87323703,-643943.432830414,-264184.750540885,-51691.2516859558,-135730.919119875,-27144.5963954762,-289308.535287206,387620.388125651,-42482.95757247,449956.899567537,-498544.152037397,-46382.3775791403,194167.9633484,213934.859167568,-24800.7894370902,33774.6018587929,29464.4494256427,1682.47923508534,21882.0394881497,-128206.600827794,36957.3031266445,-21430.6949283769,-39032.6188608103,58444.8188962658,18106.0819294233
-1222038.64475514,-718373.659838029,-314348.227842395,-35889.1112071917,10886.1224835786,-1583.50811391594,-214586.632866577,348213.384062335,-14918.948341274,803744.937348332,-350735.300548713,-786680.033954963,145102.798471365,90947.8263697574,313554.326664131,115812.380942983,10530.419504893,-72719.7779189875,-52598.999276712,-290149.238064138,-11508.2797600225,74765.1923874112,-72571.7955582669,59749.219704185,29580.3863117275
-1495496.30575818,-847301.074763921,-293943.304063422,-43420.390280577,-100447.679003307,-24761.1158147745,-235712.47288398,311273.79935962,-35916.3603677676,366921.603613522,-156951.948814108,289720.222497752,106720.908551559,143409.466071448,-214971.053478,-177524.715142551,43877.6356870391,23382.961308815,36400.1537652533,47963.3713623397,-4768.00696921014,-149926.15279205,-11168.3332590019,62997.5173018655,1075.93153014026
-1078736.77877605,-656988.034911759,-665758.537192856,-241547.451561624,-2256257.01060088,97558.4720741884,99357.9532735931,-112431.055238998,-1810.79112546251,18285.4657533508,-1355.55159934973,46717.138589957,367.864897232581,16636.4046305903,-96624.0733046043,28022.389895449,21197.6529863675,168367.685309184,-453294.958029666,-8834.96491027089,-26527.0395668343,29990.6538926603,-38077.1030935542,47151.5989744545,-15902.5935707374
-1206287.33436757,-685330.427152464,-240949.670316637,-39849.6248588007,-142002.346040094,-15703.553203259,-175718.086953021,232258.959873768,-28191.6089477123,257740.704985057,-130731.521029891,248475.036527147,92840.0207815324,121777.951177685,-161054.231358967,-112972.954256763,8563.59034921476,82973.8172174625,78439.7025828673,-5096.61958482301,5467.30035705251,-105424.319889326,12226.1685052914,42818.4223639102,10955.3512949389
-780350.85999632,-461230.902743343,-255776.412415213,-55636.6774195438,-271973.498271198,-55018.3320946132,-431268.899748714,516107.211868725,-21313.7020136991,536394.964898885,-279184.889640383,364367.359605451,76478.0922982903,160500.243196948,-276679.849878098,60226.7894788669,12290.3462338767,92422.2661734998,107111.56605154,-64328.4484000461,45622.9047896614,-9518.605539214,-64214.11405781,27703.0755810288,18924.2957778924
